,0,1,2,3,4,5,6,7,8,9,average
14,32.0,29.0,29.0,30.0,29.0,28.999999999999996,28.400000000000002,29.0,30.0,29.0,29.439999999999998
15,32.0,29.0,29.0,30.0,29.0,29.0,28.400000000000002,29.999999999999996,30.0,29.0,29.54
16,32.0,29.0,29.0,30.0,29.0,29.0,28.400000000000002,30.0,30.0,29.0,29.54
17,32.0,29.999999999999996,29.0,31.000000000000004,29.0,29.0,28.400000000000002,32.0,31.0,29.999999999999996,30.139999999999997
18,32.0,29.999999999999996,29.0,32.0,29.0,29.0,28.400000000000002,32.0,31.0,30.0,30.24
19,32.0,30.0,29.0,32.0,30.0,29.0,28.400000000000002,32.0,31.0,31.0,30.439999999999998
20,32.0,30.0,29.0,32.0,30.0,29.0,28.400000000000002,32.0,32.0,32.0,30.639999999999997
21,32.0,30.0,31.000000000000004,32.0,30.0,29.0,29.3,32.0,32.0,32.0,30.93
22,32.0,30.0,32.0,32.0,30.0,29.0,29.3,32.0,32.0,32.0,31.03
23,32.0,30.0,32.0,32.0,30.0,29.0,29.3,32.0,32.0,32.0,31.03
24,32.0,32.0,32.0,32.0,32.0,29.0,29.3,32.0,32.0,32.0,31.43
25,33.0,32.0,32.0,32.0,32.0,29.0,31.099999999999998,32.0,32.0,32.0,31.71
26,33.0,32.0,32.0,32.0,32.0,29.0,31.099999999999998,32.0,32.0,32.0,31.71
27,33.0,32.0,32.0,32.0,32.0,29.0,31.099999999999998,32.0,32.0,32.0,31.71
28,35.0,32.0,32.0,32.0,32.0,29.0,31.099999999999998,33.0,32.0,32.0,32.010000000000005
29,35.0,32.0,32.0,32.0,32.0,29.0,31.099999999999998,33.0,32.0,32.0,32.010000000000005
30,35.0,32.0,32.0,32.0,32.0,29.0,31.099999999999998,33.0,33.0,32.0,32.11
31,35.0,32.0,32.0,32.0,32.0,29.999999999999996,31.099999999999998,34.0,33.0,32.0,32.31
32,35.0,32.0,32.0,32.0,32.0,29.999999999999996,31.099999999999998,34.0,34.0,32.0,32.410000000000004
33,35.0,32.0,32.0,32.0,32.0,30.0,31.099999999999998,34.0,35.0,32.0,32.510000000000005
34,35.0,32.0,32.0,32.0,32.0,30.0,31.099999999999998,34.0,35.0,33.0,32.61
35,35.0,32.0,32.0,33.0,32.0,30.0,31.099999999999998,35.0,35.0,33.0,32.81
36,35.0,32.0,32.0,33.0,32.0,30.0,31.099999999999998,35.0,35.0,35.0,33.010000000000005
37,35.0,32.0,32.0,33.0,32.0,30.0,31.099999999999998,35.0,35.0,35.0,33.010000000000005
38,35.0,32.0,32.0,33.0,32.0,31.0,31.099999999999998,35.0,35.0,35.0,33.11
39,35.0,32.0,32.0,33.0,33.0,31.0,31.099999999999998,35.0,35.0,35.0,33.21
40,35.0,32.0,32.0,35.0,33.0,32.0,31.099999999999998,35.0,35.0,35.0,33.510000000000005
41,35.0,32.0,32.0,35.0,33.0,32.0,31.099999999999998,35.0,35.0,35.0,33.510000000000005
42,35.0,32.0,32.0,35.0,33.0,32.0,32.0,35.0,35.0,35.0,33.6
43,35.0,32.0,32.0,35.0,33.0,32.0,32.0,35.0,35.0,35.0,33.6
44,35.0,32.0,32.0,35.0,33.0,32.0,32.0,35.0,35.0,35.0,33.6
45,35.0,33.0,32.0,35.0,34.0,32.0,32.0,35.0,35.0,35.0,33.8
46,35.0,33.0,32.0,35.0,34.0,32.0,32.0,35.0,35.0,35.0,33.8
47,35.0,33.0,32.0,35.0,35.0,32.0,32.0,35.0,35.0,35.0,33.9
48,35.0,33.0,32.0,35.0,35.0,32.0,32.0,35.0,35.0,35.0,33.9
49,35.0,33.0,32.0,35.0,35.0,32.0,33.8,35.0,35.0,35.0,34.08
50,35.0,33.0,33.0,35.0,35.0,32.0,33.8,35.0,35.0,35.0,34.18
51,35.0,33.0,33.0,35.0,35.0,32.0,33.8,35.0,35.0,35.0,34.18
52,35.0,33.0,33.0,35.0,35.0,32.0,33.8,35.0,35.0,35.0,34.18
53,35.0,33.0,33.0,35.0,35.0,32.0,33.8,35.0,35.0,35.0,34.18
54,35.0,33.0,33.0,35.0,35.0,32.0,33.8,35.0,35.0,35.0,34.18
55,35.0,33.8,34.0,35.0,35.0,32.0,33.8,35.0,35.0,35.0,34.36
56,35.0,33.8,34.0,35.0,35.0,32.0,33.8,35.0,35.0,35.0,34.36
57,35.0,34.0,35.0,35.0,35.0,32.0,33.8,35.0,35.0,35.0,34.480000000000004
